City,Orders,Revenue,Weighted_Rating,Restaurants,Categories,Growth_Rate,Order_Density,Cat_Diversity,Opportunity_Score,City_Tier
Bengaluru,20077,5456798.41,4.3687104823402665,88,579,-0.0005339984288313948,228.14772727272728,579,65.12904522350254,Stars
Ahmedabad,10185,2817836.02,4.412096861765664,60,478,0.01796349838726452,169.75,478,57.56419423549106,Stars
Shillong,5183,1427851.75,4.388965560839923,34,365,0.03436172874814125,152.44117647058823,365,51.06241198107631,Stars
Kolkata,10046,2662801.76,4.463431184091186,77,567,-0.02907339827809019,130.46753246753246,567,49.69508552365639,Stars
New Delhi,10191,2829180.6,4.393844872762107,71,478,-0.0009786030042899796,143.53521126760563,478,48.27415952316115,Stars
Lucknow,10192,3117359.65,4.416733350232593,77,502,-0.006948821256146154,132.36363636363637,502,48.007875096528394,Stars
Chennai,10042,2642594.63,4.411705602482971,70,602,-0.038444684335739,143.45714285714286,602,47.94846028809426,Stars
Kochi,5029,1283926.46,4.538129854886306,50,370,0.0015026783479223926,100.58,370,46.9501952976773,Untapped
Mumbai,10507,3015573.35,4.3699150711268295,71,576,-0.02612690504639359,147.98591549295776,576,46.93005022411263,Stars
Hyderabad,10309,3021711.62,4.27311672990039,77,546,0.025486918191308883,133.88311688311688,546,46.43298896991307,Stars
Indore,7476,1970100.77,4.336727423886848,49,323,0.03361978585654479,152.57142857142858,323,45.2955276165372,Stars
Ranchi,5101,1197037.32,4.229641422798303,45,358,0.0777541126011807,113.35555555555555,358,41.49164222686764,Untapped
Shimla,5054,1382689.18,4.311495848721295,42,366,0.03946931315853108,120.33333333333333,366,41.34324675910875,Untapped
Guwahati,5032,1259012.24,4.440094162123374,58,366,0.019211641682814307,86.75862068965517,366,41.00035406092249,Untapped
Jaipur,10286,2502932.61,4.360190004672246,91,584,-0.02594518128526091,113.03296703296704,584,40.909678785432035,Emerging
Chandigarh,10065,2809440.69,4.335571892316108,80,465,-0.00891139923670281,125.8125,465,39.08683909023365,Emerging
Gurgaon,5005,1438455.54,4.38044967854208,44,365,0.0006420889635496696,113.75,365,37.53332924567227,Emerging
Gangtok,2105,560965.42,4.266137218045112,25,169,0.11123348573038094,84.2,169,37.09405891157229,Low Priority
Agartala,5006,1144272.46,4.353711331843091,53,362,0.021893590001317964,94.45283018867924,362,36.4768427634223,Low Priority
Dehradun,5084,1301699.7,4.287050625128099,48,342,0.04030264010238116,105.91666666666667,342,36.298288597123374,Low Priority
Aizawl,3091,824930.99,4.476834092096425,35,223,0.0071937271627637855,88.31428571428572,223,34.91162447834691,Low Priority
Panaji,5030,1539479.41,4.39686754863582,42,331,-0.034666809205761595,119.76190476190476,331,31.227481757729613,Emerging
Kohima,2286,576797.6,4.347914445019957,30,196,0.04177117306578282,76.2,196,29.279643009210993,Low Priority
Raipur,5025,1226832.2,4.191003653338746,43,372,0.016329407116430383,116.86046511627907,372,27.99498529460116,Low Priority
Bhubaneswar,5018,1193584.77,4.358507298936397,55,361,-0.02814138836179858,91.23636363636363,361,26.48498365615368,Low Priority
Patna,5000,1231696.87,4.185513576223907,56,396,0.0042935145196278945,89.28571428571429,396,21.841980934268907,Low Priority
Imphal,5003,1254429.93,4.266601457561271,66,373,-0.03181728984977139,75.8030303030303,373,17.273749118212596,Low Priority
Srinagar,5002,1322513.82,4.186738153795704,61,376,-0.0425961265446827,82.0,376,10.664954053183616,Low Priority
