Restaurant Name,Revenue,Orders,Weighted_Rating,Last_Order,City,State,Revenue_Share,Recency_Days,Rev_N,Rating_N,Orders_N,Recency_N,Health_Score,Health_Tier
KFC,4246951.7,12961,4.314838703986698,2025-08-31,Bengaluru,Karnataka,8.011226102810195,1,1.0000000000000002,0.6688196470531449,0.957942198240816,1.0,89.22343337641068,Champion
McDonald's,3343094.58,13530,4.44435474207951,2025-08-31,Bengaluru,Karnataka,6.30623761590208,1,0.7871690747716704,0.747272407757813,0.9999999999999999,1.0,83.9049352236012,Champion
Burger King,1900817.09,7116,4.3567286645487515,2025-08-31,Bengaluru,Karnataka,3.5856012885844017,1,0.4475564901712494,0.6941939798407777,0.525907310222485,1.0,59.24622520652301,Healthy
Pizza Hut,2133265.69,6529,4.194542742207381,2025-08-31,Bengaluru,Karnataka,4.024080090187368,1,0.5022910820789059,0.5959518351421007,0.4825190331879665,1.0,57.620579001178584,Healthy
Domino's Pizza,1834022.32,5492,4.3797429274941075,2025-08-31,Bengaluru,Karnataka,3.4596031509189316,1,0.43182834864871156,0.7081345889748563,0.40586887427008644,1.0,56.634549100595876,Healthy
Baskin Robbins - Ice Cream Desserts,860591.94,4197,4.597107829215185,2025-08-31,Bengaluru,Karnataka,1.6233753290851094,1,0.2026150318130102,0.8398007275583819,0.31014856973907895,1.0,49.50159449405345,At Risk
LunchBox - Meals and Thalis,1101141.0,4700,4.38178570415946,2025-08-31,Bengaluru,Karnataka,2.0771344119770703,1,0.2592570362512835,0.709371976029463,0.34732796215536993,1.0,48.59799997404263,At Risk
Olio - The Wood Fired Pizzeria,1236369.0,3241,4.26170891903505,2025-08-31,Bengaluru,Karnataka,2.332221391994012,1,0.29109912690912615,0.636636927704402,0.239485549560204,1.0,45.532783898701176,At Risk
"Faasos - Wraps, Rolls & Shawarma",780215.0,3256,4.34071115691832,2025-08-31,Bengaluru,Karnataka,1.4717565009755245,1,0.1836887013912042,0.6844915699174989,0.24059427895631605,1.0,42.69418073229944,At Risk
The Good Bowl,673343.0,2665,4.40314844529251,2025-08-31,Bengaluru,Karnataka,1.2701587865349457,1,0.1585235883023102,0.7223121959650509,0.19691034074950106,1.0,41.94851622603395,At Risk
NIC Ice Creams,294305.18,1229,4.649339098882812,2025-08-31,Bengaluru,Karnataka,0.5551617976272847,1,0.06927168317030317,0.8714391822306817,0.09076797989504028,1.0,40.729402391633386,At Risk
Sakana,46010.0,95,4.861577490774907,2025-08-30,Panaji,Goa,0.0867908417678254,2,0.010805702519362848,1.0,0.006948037548968881,0.9947368421052631,40.51855727280652,At Risk
Labonel Fine Baking,272780.0,154,4.694382022471911,2025-08-30,Hyderabad,Telangana,0.5145578312850991,2,0.06420315643777455,0.8987233839234627,0.011309039840342967,0.9947368421052631,39.70337699307435,At Risk
Theobroma,437841.0,944,4.526727826652518,2025-08-31,Bengaluru,Karnataka,0.825920211920592,1,0.1030700133466556,0.7971688992477746,0.06970212136891121,1.0,39.43190993867768,At Risk
Grameen Kulfi,59046.65,408,4.756198867212083,2025-08-31,Bengaluru,Karnataka,0.1113824920032638,1,0.013875438011824205,0.9361681838056444,0.030083524281173772,1.0,39.241733520265775,At Risk
Tossin Pizza,78308.0,158,4.763448275862069,2025-08-31,Gurgaon,Haryana,0.1477160886145375,1,0.0184109014727379,0.9405594246932023,0.011604701012639515,1.0,39.18531281995838,At Risk
Kanti Sweets,194499.95,994,4.632780807565215,2025-08-31,Bengaluru,Karnataka,0.36689446607911214,1,0.045770579983190764,0.8614091991834338,0.07339788602261807,1.0,39.14105689528301,At Risk
Vijay Dairy,8625.0,52,4.805935251798561,2025-08-27,Chandigarh,Punjab,0.01626974593017809,5,0.002002669425303574,0.966295392263659,0.003769679946780989,0.9789473684210527,38.933835828068055,At Risk
Minus 30,13533.98,66,4.779774489076815,2025-08-30,Kolkata,West Bengal,0.0255297873651144,2,0.0031585852578052487,0.9504488292597015,0.004804494049818907,0.9947368421052631,38.683266590152265,At Risk
Cheesecake & co.,252293.0,420,4.623341346153846,2025-08-31,Bengaluru,Karnataka,0.4759122330391213,1,0.05937908959283694,0.8556913605420418,0.030970507798063415,1.0,38.66531455593601,At Risk
Cheesecake & Co.,201056.0,351,4.653614074192008,2025-08-31,New Delhi,Delhi,0.3792614536507694,1,0.04731433082219858,0.8740286963934794,0.02587035257594796,1.0,38.630841176211284,At Risk
Cake Hut,53725.0,115,4.752397260273974,2025-08-28,Kochi,Kerala,0.10134401160566005,4,0.012622350916331343,0.9338654067611913,0.008426343410451622,0.9842105263157894,38.53148837085592,At Risk
Punjab Sind,8727.5,36,4.793396226415093,2025-08-21,Panaji,Goa,0.016463096533986005,11,0.00202680506505591,0.9587000305434832,0.0025870352575947963,0.9473684210526316,38.36749803458495,At Risk
I Deli Cafe,6988.0,47,4.769644839067704,2025-08-29,Kochi,Kerala,0.013181795311314144,3,0.0016172055982345615,0.9443129172916609,0.003400103481410304,0.9894736842105263,38.35681465441267,At Risk
Wow! Momo,458454.23,2011,4.367905204828815,2025-08-31,Chennai,Tamil Nadu,0.8648039237930933,1,0.10792380352628526,0.7009640328242512,0.14856973907901544,1.0,38.317267907359266,At Risk
Sangeetha's Desi Mane - Annanagar,78469.0,349,4.694008466297623,2025-08-31,Chennai,Tamil Nadu,0.1480197905385675,1,0.01844881208737328,0.8984971068261807,0.025722521989799685,1.0,38.20731612807634,At Risk
Yadav Doodh Dairy,31441.0,70,4.74236641221374,2025-08-30,Lucknow,Uttar Pradesh,0.05930864716414254,2,0.0073751450993454724,0.9277893428688531,0.005100155222115456,0.9947368421052631,38.17805761553436,At Risk
Jayhind Sweets,146626.0,553,4.637060931899642,2025-08-31,Ahmedabad,Gujarat,0.2765875671603818,1,0.034497717439567956,0.8640018323054757,0.040801241776923645,1.0,38.11598850228546,At Risk
Vadilal Ice Creams,57806.45,299,4.698582729070534,2025-08-31,Kolkata,West Bengal,0.10904304401455575,1,0.013583408544303746,0.9012679107204926,0.022026757336092835,1.0,38.02190881010878,At Risk
Sweet Truth - Cake and Desserts,432574.0,1761,4.383994809127284,2025-08-31,Bengaluru,Karnataka,0.8159848204058965,1,0.1018297946678697,0.7107101144250181,0.13009091581048118,1.0,37.99631353567495,At Risk
Sangeetha Veg Restaurant,153609.54,633,4.613814148013858,2025-08-31,Chennai,Tamil Nadu,0.2897609493624961,1,0.036142129201870654,0.8499203764471854,0.046714465222854606,1.0,37.87758576594749,At Risk
Natural Ice Cream,20233.89,87,4.733197925669835,2025-08-28,New Delhi,Delhi,0.03816814486715028,4,0.00473621076154254,0.922235643949052,0.006356715204375785,0.9842105263157894,37.825757316178674,At Risk
Apsara Ice Creams,8924.75,77,4.736306729264475,2025-08-28,Mumbai,Maharashtra,0.0168351785496066,4,0.002073251454725649,0.9241187638165185,0.005617562273634415,0.9842105263157894,37.76094948131516,At Risk
Radhey Lal's Parampara Sweets,18900.0,84,4.718501984126984,2025-08-30,Lucknow,Uttar Pradesh,0.035651964994825036,2,0.004422120141940167,0.9133337565676234,0.0061349693251533735,0.9947368421052631,37.64696531026201,At Risk
Veg Meals by Lunchbox,479985.0,2083,4.313790573995965,2025-08-31,Bengaluru,Karnataka,0.905418434816989,1,0.1129936465341916,0.6681847550925721,0.1538916401803533,1.0,37.64312131775189,At Risk
Oven Story Pizza,355688.0,794,4.4782803924829535,2025-08-31,Mumbai,Maharashtra,0.6709511177290649,1,0.0837254746874005,0.7678224567868317,0.05861482740779067,1.0,37.55598923925678,At Risk
ITC Master Chef Creations,376528.0,793,4.464345088161208,2025-08-31,Bengaluru,Karnataka,0.7102625965910836,1,0.08863266232094859,0.7593813161265746,0.058540912114716535,1.0,37.49756421892951,At Risk
Short Crust: Cakes & More,13073.0,20,4.7515625,2025-08-18,New Delhi,Delhi,0.02466021896176443,14,0.00305003845572689,0.9333597609046302,0.0014043905684086038,0.9315789473684211,37.466671650420366,At Risk
Uncle Ugen's Momo,6361.0,30,4.715625000000001,2025-08-31,Imphal,Manipur,0.011999055520215981,1,0.0014695661238471023,0.9115910585157914,0.0021435434991499743,1.0,37.44938527041063,At Risk
Myfroyoland - Premium Frozen Yogurt,1691.0,8,4.755172413793103,2025-08-16,Kolkata,West Bengal,0.003189813375992018,16,0.00036992282976506944,0.9355464221640784,0.0005174070515189592,0.9210526315789473,37.302064034932805,At Risk
Suchali's Artisan Bakehouse,63700.0,243,4.660180451127819,2025-08-31,Mumbai,Maharashtra,0.12016032646403993,1,0.014971160736131833,0.8780061991493362,0.01788750092394116,1.0,37.296782422404185,At Risk
Bakingo,208208.0,433,4.569058001775171,2025-08-31,Bengaluru,Karnataka,0.39275260992817623,1,0.04899840980277133,0.8228098866373394,0.0319314066080272,1.0,37.28286112339158,At Risk
Babka Goa,41020.0,95,4.686715968227884,2025-08-29,Panaji,Goa,0.07737796847024989,3,0.009630708935322302,0.8940797650480565,0.006948037548968881,0.9894736842105263,37.24131890193922,At Risk
Veg Darbar by Behrouz Biryani,609331.0,931,4.318316268486917,2025-08-31,Hyderabad,Telangana,1.149409919696388,1,0.14345070467473436,0.6709261393423489,0.06874122255894743,1.0,37.24063681843879,At Risk
Wooden Plate,18589.0,53,4.690734224724374,2025-08-30,Shillong,Meghalaya,0.03506531096766151,2,0.004348889078886737,0.8965137749205883,0.003843595239855126,0.9947368421052631,37.09360913662285,At Risk
