Restaurant Name,Last_Order,Recency_Days,Frequency,Monetary,Avg_Order_Value,Avg_Rating,R_Score,F_Score,M_Score,RFM_Score,RFM_Code,RFM_Segment
KFC,2025-08-31,1,12961,4246951.7,327.6716071290796,4.303425661600185,5,5,5,15,555,Champions
McDonald's,2025-08-31,1,13530,3343094.58,247.08755210643017,4.395077605321508,5,5,5,15,555,Champions
Pizza Hut,2025-08-31,1,6529,2133265.69,326.7369719712054,4.198192678817583,5,5,5,15,555,Champions
Burger King,2025-08-31,1,7116,1900817.09,267.11875913434517,4.3407532321528945,5,5,5,15,555,Champions
Domino's Pizza,2025-08-31,1,5492,1834022.32,333.9443408594319,4.372705753823744,5,5,5,15,555,Champions
Olio - The Wood Fired Pizzeria,2025-08-31,1,3241,1236369.0,381.4776303609997,4.294322739895094,5,5,5,15,555,Champions
LunchBox - Meals and Thalis,2025-08-31,1,4700,1101141.0,234.28531914893617,4.3677446808510645,5,5,5,15,555,Champions
Baskin Robbins - Ice Cream Desserts,2025-08-31,1,4197,860591.94,205.04930664760542,4.4260424112461285,5,5,5,15,555,Champions
"Faasos - Wraps, Rolls & Shawarma",2025-08-31,1,3256,780215.0,239.6237714987715,4.3642813267813265,5,5,5,15,555,Champions
The Good Bowl,2025-08-31,1,2665,673343.0,252.66153846153847,4.344878048780488,5,5,5,15,555,Champions
Veg Darbar by Behrouz Biryani,2025-08-31,1,931,609331.0,654.4908700322234,4.33609022556391,5,5,5,15,555,Champions
La Pino'z Pizza,2025-08-31,1,2079,558496.0,268.6368446368446,4.264405964405965,5,5,5,15,555,Champions
Veg Meals by Lunchbox,2025-08-31,1,2083,479985.0,230.4296687469995,4.347431589054249,5,5,5,15,555,Champions
Wow! Momo,2025-08-31,1,2011,458454.23,227.97326205867728,4.293933366484336,5,5,5,15,555,Champions
Theobroma,2025-08-31,1,944,437841.0,463.8146186440678,4.508686440677966,5,5,5,15,555,Champions
Sweet Truth - Cake and Desserts,2025-08-31,1,1761,432574.0,245.64111300397502,4.356161272004543,5,5,5,15,555,Champions
Behrouz Biryani,2025-08-31,1,845,392247.0,464.1976331360947,4.320236686390532,5,5,5,15,555,Champions
ITC Master Chef Creations,2025-08-31,1,793,376528.0,474.81462799495586,4.410340479192938,5,5,5,15,555,Champions
Cafe Coffee Day,2025-08-31,1,1158,366205.0,316.2392055267703,4.264594127806563,5,5,5,15,555,Champions
Oven Story Pizza,2025-08-31,1,794,355688.0,447.9697732997481,4.4201511335012595,5,5,5,15,555,Champions
Makhani Darbar,2025-08-31,1,1158,352847.0,304.70379965457687,4.291364421416235,5,5,5,15,555,Champions
Subway,2025-08-31,1,1260,330140.41,262.0161984126984,4.236746031746032,5,5,5,15,555,Champions
Starbucks Coffee,2025-08-31,1,820,304350.0,371.1585365853659,4.369756097560976,5,5,5,15,555,Champions
NIC Ice Creams,2025-08-31,1,1229,294305.18,239.46719283970708,4.582668836452401,5,5,5,15,555,Champions
Chinese Wok,2025-08-31,1,1339,261305.25,195.14955190440628,4.260866318147872,5,5,5,15,555,Champions
Aromas Cafe & Bistro,2025-08-31,1,676,255038.02,377.27517751479286,4.370118343195267,5,5,5,15,555,Champions
Cheesecake & co.,2025-08-31,1,420,252293.0,600.697619047619,4.495952380952381,5,5,5,15,555,Champions
BOX8 - Desi Meals,2025-08-31,1,1083,250745.0,231.528162511542,4.438781163434903,5,5,5,15,555,Champions
The Belgian Waffle Co.,2025-08-31,1,846,247683.79,292.7704373522459,4.428014184397163,5,5,5,15,555,Champions
Bikanervala,2025-08-31,1,925,226711.63999999998,245.09366486486485,4.388108108108108,5,5,5,15,555,Champions
McDonald's Gourmet Burger Collection,2025-08-31,1,759,213623.89,281.4544005270092,4.393412384716733,5,5,5,15,555,Champions
Wow! China,2025-08-31,1,729,212367.0,291.3127572016461,4.16556927297668,5,5,5,15,555,Champions
Faasos' Signature Wraps & Rolls,2025-08-31,1,841,211987.0,252.0653983353151,4.37871581450654,5,5,5,15,555,Champions
Bakingo,2025-08-31,1,433,208208.0,480.84988452655887,4.516397228637413,5,5,5,15,555,Champions
Pastas By Pizza Hut,2025-08-31,1,1216,207660.68,170.77358552631577,4.222861842105263,5,5,5,15,555,Champions
Cheesecake & Co.,2025-08-31,1,351,201056.0,572.8091168091169,4.524216524216524,5,5,5,15,555,Champions
Kanti Sweets,2025-08-31,1,994,194499.95,195.67399396378272,4.550402414486922,5,5,5,15,555,Champions
FreshMenu,2025-08-31,1,722,193490.0,267.9916897506925,4.014265927977839,5,5,5,15,555,Champions
The Biryani Life,2025-08-31,1,559,190604.0,340.9731663685152,4.300894454382827,5,5,5,15,555,Champions
LeanCrust Pizza- ThinCrust Experts,2025-08-31,1,517,187431.0,362.5357833655706,4.480657640232108,5,5,5,15,555,Champions
"The Dessert Heaven - Pastry, Brownie and Cakes",2025-08-31,1,699,185941.0,266.0100143061516,4.324892703862661,5,5,5,15,555,Champions
LunchBox  Meals and Thalis,2025-08-31,1,765,182867.5,239.04248366013073,4.282745098039216,5,5,5,15,555,Champions
Mad Over Donuts,2025-08-31,1,511,181385.05,354.9609589041096,4.416438356164384,5,5,5,15,555,Champions
Burger Farm,2025-08-31,1,893,180803.6,202.46763717805152,4.405375139977604,5,5,5,15,555,Champions
Shiv Sagar Veg Restaurant,2025-08-31,1,584,163340.0,279.6917808219178,4.361643835616439,5,5,5,15,555,Champions
Edesia by Freshmenu,2025-08-31,1,623,161419.0,259.09951845906903,4.276725521669342,5,5,5,15,555,Champions
Kalsang Friends Corner,2025-08-31,1,345,158998.95,460.86652173913046,4.3652173913043475,5,5,5,15,555,Champions
The Chocolate Room,2025-08-31,1,339,157835.0,465.5899705014749,4.336283185840708,5,5,5,15,555,Champions
Hira Sweets,2025-08-31,1,637,157363.35,247.03822605965465,4.279748822605966,5,5,5,15,555,Champions
Sangeetha Veg Restaurant,2025-08-31,1,633,153609.54,242.66909952606636,4.5090047393364925,5,5,5,15,555,Champions
HRX by EatFit,2025-08-31,1,468,151678.0,324.0982905982906,4.39508547008547,5,5,5,15,555,Champions
Neelkanth Sweets,2025-08-31,1,294,148640.7,505.580612244898,4.38843537414966,5,5,5,15,555,Champions
Veg Sizzel's,2025-08-31,1,525,147027.0,280.0514285714286,4.361714285714286,5,5,5,15,555,Champions
Jayhind Sweets,2025-08-31,1,553,146626.0,265.1464737793852,4.545750452079567,5,5,5,15,555,Champions
NH1 Bowls - Highway To North,2025-08-31,1,587,146254.0,249.15502555366268,4.486712095400341,5,5,5,15,555,Champions
1944 The Hocco kitchen,2025-08-31,1,326,131938.12,404.71815950920245,4.524233128834356,5,5,5,15,555,Champions
Big Bowl,2025-08-31,1,670,129547.25,193.35410447761194,4.257164179104478,5,5,5,15,555,Champions
Supreme Upper Crust,2025-08-31,1,303,125823.32,415.25848184818483,4.511881188118812,5,5,5,15,555,Champions
Madhurima Veg,2025-08-31,1,332,123600.75,372.2914156626506,4.380722891566266,5,5,5,15,555,Champions
Bowl Soul,2025-08-31,1,442,119771.0,270.97511312217193,4.11447963800905,5,5,5,15,555,Champions
Khullak Cafe,2025-08-31,1,532,116600.0,219.17293233082708,4.413909774436091,5,5,5,15,555,Champions
Wendy's Burgers,2025-08-31,1,554,115426.0,208.35018050541515,4.138808664259928,5,5,5,15,555,Champions
Dindigul Thalappakatti - Since 1957,2025-08-31,1,327,109414.31,334.6003363914373,4.343119266055046,5,5,5,15,555,Champions
Oberai Bakers & Cafe,2025-08-31,1,212,106140.0,500.66037735849056,4.458490566037736,5,5,5,15,555,Champions
Dum Safar Biryani,2025-08-31,1,417,105375.0,252.6978417266187,4.353956834532374,5,5,5,15,555,Champions
Premjees,2025-08-31,1,301,104181.0,346.1162790697674,4.387707641196013,5,5,5,15,555,Champions
Maa Ki Rasoi,2025-08-31,1,648,102015.0,157.43055555555554,4.158333333333333,5,5,5,15,555,Champions
Moti Mahal,2025-08-31,1,365,97845.0,268.06849315068496,4.313150684931507,5,5,5,15,555,Champions
Ss Hyderabad Biryani,2025-08-31,1,361,92090.0,255.09695290858727,4.434903047091413,5,5,5,15,555,Champions
Daily Kitchen - Everyday Homely Meals,2025-08-31,1,383,87738.0,229.08093994778068,4.3733681462141,5,5,5,15,555,Champions
Mithaas,2025-08-31,1,453,86936.38,191.9125386313466,4.262913907284768,5,5,5,15,555,Champions
China Belly By Wow! Momo,2025-08-31,1,338,86119.59,254.79168639053253,4.1982248520710055,5,5,5,15,555,Champions
Tan-Sukh By Kanha,2025-08-31,1,315,83926.0,266.43174603174606,4.410793650793651,5,5,5,15,555,Champions
Kaveri - Lalpur,2025-08-31,1,337,83321.0,247.2433234421365,4.163501483679526,5,5,5,15,555,Champions
Highway Kitchen,2025-08-31,1,297,82470.0,277.67676767676767,4.265319865319865,5,5,5,15,555,Champions
Valley Vista,2025-08-31,1,286,82458.0,288.31468531468533,4.392307692307693,5,5,5,15,555,Champions
Radha Krishna,2025-08-31,1,420,80550.0,191.78571428571428,4.305238095238096,5,5,5,15,555,Champions
Sahib's Punjabi Tadka,2025-08-31,1,223,80541.0,361.17040358744396,4.4,5,5,5,15,555,Champions
Nini's Kitchen,2025-08-31,1,239,80321.0,336.07112970711296,4.434728033472804,5,5,5,15,555,Champions
Sangeetha's Desi Mane - Annanagar,2025-08-31,1,349,78469.0,224.83954154727795,4.606303724928367,5,5,5,15,555,Champions
Ovenfresh Cakes And Desserts,2025-08-31,1,321,78318.0,243.98130841121494,4.378193146417446,5,5,5,15,555,Champions
Lazeez - Rooftop Lounge,2025-08-31,1,260,78098.0,300.37692307692305,4.349615384615385,5,5,5,15,555,Champions
Chef's Planet,2025-08-31,1,253,77141.0,304.90513833992094,4.386561264822134,5,5,5,15,555,Champions
Hira Sweets And Confectionary Pvt. Ltd.,2025-08-31,1,312,76094.59,243.89291666666665,4.315384615384616,5,5,5,15,555,Champions
Grill Inn,2025-08-31,1,342,72396.0,211.68421052631578,4.288596491228071,5,5,5,15,555,Champions
The Story House,2025-08-31,1,232,66542.0,286.8189655172414,4.314224137931035,5,5,5,15,555,Champions
Chaayos Chai+Snacks=Relax,2025-08-31,1,255,64515.0,253.0,4.545098039215686,5,5,5,15,555,Champions
Suchali's Artisan Bakehouse,2025-08-31,1,243,63700.0,262.13991769547323,4.546090534979424,5,5,5,15,555,Champions
The Eleganza,2025-08-31,1,195,63170.0,323.94871794871796,4.303589743589744,5,5,5,15,555,Champions
Confucius (Silpukhuri),2025-08-31,1,205,62862.0,306.6439024390244,4.254146341463414,5,5,5,15,555,Champions
Shree Gangaur,2025-08-31,1,188,61722.0,328.3085106382979,4.379255319148936,5,5,5,15,555,Champions
